SuburbClass,Rooms,Bathroom,Distance,Latitude,Longitude,BuildingArea,Landsize,HouseAgeType_historic,HouseAgeType_modern
3,3,1.0,18.0,-37.70388,144.75259,118.0,318.0,0,1
1,4,2.0,15.2,-37.95882,145.02138,165.0,404.0,1,0
3,3,1.0,11.2,-37.7194,145.0015,115.0,551.0,1,0
1,3,1.0,13.9,-37.7848,145.1029,100.0,827.0,1,0
1,4,2.0,15.5,-37.75592,145.16605,185.0,779.0,0,1
1,2,1.0,5.4,-37.79438,145.03368999999995,107.0,193.0,0,1
3,4,2.0,27.2,-37.87047000000001,144.59864,151.54,400.0,0,1
1,3,1.0,2.6,-37.8162,145.006,106.0,176.0,1,0
3,4,2.0,4.3,-37.7833,144.89717,221.3,238.0,0,1
1,3,2.0,11.2,-37.8718,145.0404,152.0,400.0,1,0
3,4,1.0,12.6,-37.7864,144.8353,181.0,726.0,1,0
1,4,3.0,13.4,-37.81726,145.16061000000005,215.0,696.0,1,0
3,3,1.0,14.5,-37.725,144.8586,132.0,696.0,0,1
3,4,1.0,4.3,-37.78352,144.88981,155.0,697.0,1,0
1,3,3.0,11.2,-37.899,144.9901,262.0,398.0,0,1
3,3,2.0,12.6,-37.7809,144.8424,165.0,655.0,1,0
1,3,1.0,10.3,-37.93063,145.01314,181.0,605.0,1,0
3,4,2.0,11.5,-37.7168,144.9171,179.0,780.0,0,1
3,3,1.0,12.1,-37.70042,145.0614,139.0,896.0,0,1
3,4,2.0,34.9,-38.08981,145.17353,172.0,550.0,0,1
3,2,1.0,31.2,-38.07938,145.13227,84.0,199.0,0,1
1,3,2.0,9.7,-37.8161,145.0748,166.0,706.0,1,0
1,4,2.0,13.9,-37.9274,145.0654,160.0,575.0,1,0
1,3,1.0,13.9,-37.9186,145.0709,163.0,578.0,1,0
3,4,1.0,31.7,-37.67363,144.55888000000004,147.0,675.0,0,1
1,2,2.0,2.6,-37.8207,145.0053,95.0,74.0,0,1
1,2,1.0,7.3,-37.85258,145.08588999999995,87.0,100.0,1,0
1,2,1.0,5.9,-37.7745,144.9093,92.0,226.0,1,0
3,3,1.0,7.8,-37.8085,144.8802,100.0,275.0,1,0
1,4,2.0,14.0,-37.91,145.096,199.0,537.0,1,0
1,3,1.0,3.0,-37.80359,144.99538,130.0,142.0,1,0
1,3,2.0,13.9,-37.9176,145.0566,156.0,267.0,0,1
1,3,2.0,11.0,-37.8619,145.0879,168.0,724.0,1,0
1,2,1.0,7.9,-37.7582,145.034,120.0,134.0,0,1
3,2,1.0,16.1,-37.71254,145.09705,79.0,240.0,0,1
3,3,1.0,12.8,-37.77713,144.79746,102.0,697.0,1,0
1,4,3.0,7.5,-37.74588,144.92700000000005,168.0,205.0,0,1
3,3,2.0,7.0,-37.815,144.8928,144.0,235.0,1,0
3,4,1.0,11.2,-37.7285,144.9964,188.0,895.0,1,0
1,6,2.0,11.7,-37.8493,145.1283,209.0,665.0,1,0
3,3,1.0,27.2,-37.89757,144.63041,110.0,743.0,0,1
1,2,1.0,2.1,-37.79723,144.97686000000004,65.0,470.0,0,1
1,4,2.0,13.8,-37.90866,145.07533,183.0,270.0,0,1
3,3,2.0,28.5,-37.98841,145.26001000000005,114.0,810.0,0,1
3,3,1.0,25.0,-37.86126,145.25808,131.0,720.0,0,1
1,3,2.0,14.0,-37.9055,145.1024,146.0,544.0,0,1
3,4,1.0,8.4,-37.839,144.8854,151.0,619.0,1,0
3,4,2.0,22.2,-37.97936,145.13302,181.0,676.0,0,1
3,2,2.0,11.2,-37.71679,144.90901000000005,127.0,208.0,0,1
3,2,1.0,9.9,-37.7242,144.9411,100.0,135.0,0,1
3,3,2.0,14.8,-37.7687,144.75833,125.0,544.0,0,1
3,3,2.0,11.2,-37.6989,145.0212,149.0,618.0,0,1
1,4,3.0,10.2,-37.85842,145.10288,194.0,726.0,1,0
3,2,1.0,13.9,-37.7778,144.81799999999996,94.0,697.0,0,1
1,3,2.0,11.2,-37.832,145.11,159.0,808.0,0,1
3,5,2.0,7.0,-37.8102,144.8857,172.0,644.0,1,0
1,4,2.0,12.1,-37.8932,145.0681,167.0,660.0,1,0
1,3,1.0,13.4,-37.81511,145.15828,121.0,697.0,1,0
1,2,2.0,2.3,-37.8016,144.9508,120.0,584.0,0,1
3,2,1.0,4.4,-37.7849,144.9197,85.0,225.0,1,0
3,2,1.0,11.2,-37.7166,144.9911,67.0,99.0,0,1
3,2,1.0,11.2,-37.7273,145.0254,83.0,360.0,1,0
1,2,1.0,7.9,-37.7634,145.0406,78.0,721.0,1,0
3,3,2.0,13.6,-37.704,144.8989,141.0,367.0,0,1
3,4,1.0,11.5,-37.7161,144.9165,137.0,553.0,1,0
3,2,1.0,11.7,-37.88321,145.09593999999996,66.0,897.0,0,1
1,3,2.0,9.7,-37.7229,144.9055,183.0,371.0,0,1
3,3,2.0,6.4,-37.7987,144.9034,154.0,196.0,0,1
3,2,1.0,14.5,-37.7251,144.8621,100.0,161.0,0,1
1,4,2.0,12.2,-37.8629,145.1097,192.0,766.0,1,0
1,3,1.0,13.1,-37.8283,145.1195,119.0,492.0,1,0
1,2,1.0,6.9,-37.7641,144.9073,85.0,272.0,1,0
3,3,1.0,19.6,-37.65105,145.04613,118.0,699.0,0,1
1,3,2.0,6.2,-37.84506,145.05246,177.0,265.0,0,1
3,3,2.0,14.8,-37.75107,144.78415,145.0,397.0,0,1
3,3,1.0,11.2,-37.6974,145.0213,105.0,250.0,1,0
